Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003]
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,..,58.8074758904068,58.2769881790166,58.2769881790166,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.125201232694,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.125201232694,58.123668031216
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,0.160976451493467,0.165454681763912,0.134106112096442,0.15301907020982,0.176278015184889,0.149161535350241,0.189910278046671,0.265209508578463,0.305307954864333,0.252220037661822,0.178197750875713,0.134709695975708,0.0683310586911881,0.0691743844762328,0.063495466170261,0.0437301352730113,0.0538747195803349
Afghanistan,AFG,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,..,..,2.41,2.44,2.3,2.24,2.37,2.25,2.46,2.61,3.23,2.46,2.25,1.94,1.53,1.5,1.41,1.2,1.4
Afghanistan,AFG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..,..,..,18.51,17.96,19.21,19.92,17.53,18.93,16.86,15.36,12.61,15.15,16.53,21.17,28.78,31.89,33.88,44.24,36.66
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,..,..,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184
Afghanistan,AFG,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059,43.0159066808059
Afghanistan,AFG,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,..,..,..,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384,54.7570194384
Afghanistan,AFG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,3.6372565953286,3.6372565953286,3.6372565953286,0.104707034772672,0.104707034792812,0.104707034792812,0.104707040342723,..,..,..,..,..,..,..,..,..,..,..,..,..
